,hurst_mean_revert,zscore_entry_long,zscore_entry_short,velocity_epsilon,total_return_pct,final_value,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_win,avg_loss,expectancy
73,0.45,-2.0,2.0,2.0,0.04,10004.17,0.139,0.183,0.205,4.29,79,62.03,1.01,0.0,0.0,0.0
20,0.35,-2.0,2.0,3.0,-0.07,9992.78,-0.027,-0.034,-0.364,4.14,46,58.7,0.99,0.0,0.0,0.0
42,0.4,-2.5,3.0,1.0,-0.01,9998.73,-0.079,-0.101,-0.39,0.68,13,69.23,0.98,0.0,0.0,0.0
69,0.45,-2.5,3.0,1.0,-0.01,9998.73,-0.079,-0.101,-0.39,0.68,13,69.23,0.98,0.0,0.0,0.0
55,0.45,-3.0,2.0,2.0,-0.17,9983.22,-0.138,-0.191,-0.808,4.29,48,52.08,0.96,0.0,0.0,0.0
29,0.4,-3.0,2.0,3.0,-0.15,9985.32,-0.212,-0.283,-1.223,2.49,42,54.76,0.96,0.0,0.0,0.0
47,0.4,-2.0,2.0,3.0,-0.31,9969.29,-0.379,-0.483,-2.077,3.01,60,63.33,0.95,0.0,0.0,0.0
63,0.45,-2.5,2.0,1.0,-0.13,9987.27,-0.512,-0.696,-3.756,0.7,37,59.46,0.94,0.0,0.0,0.0
19,0.35,-2.0,2.0,2.0,-0.55,9945.19,-0.594,-0.778,-2.542,4.29,43,55.81,0.88,0.0,0.0,0.0
36,0.4,-2.5,2.0,1.0,-0.15,9984.71,-0.651,-0.885,-4.793,0.66,31,58.06,0.92,0.0,0.0,0.0
0,0.35,-3.0,2.0,1.0,-0.18,9981.74,-1.115,-1.494,-5.495,0.69,19,52.63,0.86,0.0,0.0,0.0
74,0.45,-2.0,2.0,3.0,-1.06,9894.21,-1.307,-1.709,-6.536,3.07,82,62.2,0.88,0.0,0.0,0.0
45,0.4,-2.0,2.0,1.0,-0.73,9927.03,-2.353,-3.112,-9.65,1.48,44,54.55,0.8,0.0,0.0,0.0
51,0.4,-2.0,3.0,1.0,-0.59,9940.97,-2.362,-3.028,-7.356,1.59,26,57.69,0.76,0.0,0.0,0.0
21,0.35,-2.0,2.5,1.0,-0.69,9931.15,-2.65,-3.412,-10.919,1.24,22,63.64,0.68,0.0,0.0,0.0
15,0.35,-2.5,3.0,1.0,-0.43,9957.37,-3.303,-4.034,-12.241,0.7,10,60.0,0.43,0.0,0.0,0.0
9,0.35,-2.5,2.0,1.0,-0.8,9919.91,-4.236,-5.232,-14.606,1.06,25,56.0,0.57,0.0,0.0,0.0
24,0.35,-2.0,3.0,1.0,-1.28,9871.67,-5.156,-6.477,-15.682,1.52,15,53.33,0.39,0.0,0.0,0.0
18,0.35,-2.0,2.0,1.0,-1.65,9834.53,-5.825,-7.304,-14.8,2.0,30,53.33,0.49,0.0,0.0,0.0
