time,open,high,low,close,volume
2026-04-14 19:50:00,4843.04,4844.01,4841.11,4841.16,1593
2026-04-14 19:55:00,4841.19,4846.24,4840.97,4844.97,1907
2026-04-14 20:00:00,4844.95,4846.24,4842.64,4843.28,1084
2026-04-14 20:05:00,4843.28,4844.54,4842.27,4843.75,695
2026-04-14 20:10:00,4843.75,4843.91,4842.03,4842.83,570
2026-04-14 20:15:00,4842.83,4843.41,4839.6,4840.94,474
2026-04-14 20:20:00,4840.95,4841.65,4839.79,4841.59,448
2026-04-14 20:25:00,4841.59,4841.6,4839.76,4840.47,417
2026-04-14 20:30:00,4840.47,4841.18,4840.1,4840.25,347
2026-04-14 20:35:00,4840.25,4841.23,4840.11,4840.11,456
2026-04-14 20:40:00,4840.11,4843.11,4839.84,4842.24,630
2026-04-14 20:45:00,4842.24,4843.29,4841.29,4841.66,652
2026-04-14 20:50:00,4841.63,4842.06,4840.41,4841.87,581
2026-04-14 20:55:00,4841.88,4842.14,4840.39,4841.25,676
2026-04-14 22:00:00,4839.22,4850.42,4838.15,4849.19,1777
2026-04-14 22:05:00,4849.17,4850.66,4846.1,4847.83,1271
2026-04-14 22:10:00,4847.83,4848.04,4843.34,4844.86,1073
2026-04-14 22:15:00,4844.87,4847.11,4837.52,4837.7,1127
2026-04-14 22:20:00,4837.44,4842.62,4836.43,4842.44,987
2026-04-14 22:25:00,4842.44,4843.0,4839.99,4840.08,635
2026-04-14 22:30:00,4840.06,4843.16,4837.87,4839.02,1060
2026-04-14 22:35:00,4838.79,4841.28,4838.54,4839.98,785
2026-04-14 22:40:00,4839.94,4841.58,4839.17,4840.29,656
2026-04-14 22:45:00,4840.3,4840.4,4837.76,4837.87,654
2026-04-14 22:50:00,4837.85,4838.78,4835.05,4836.06,923
2026-04-14 22:55:00,4836.09,4836.6,4833.29,4835.09,1133
2026-04-14 23:00:00,4835.07,4838.28,4833.68,4837.32,985
2026-04-14 23:05:00,4837.31,4844.08,4837.21,4839.5,1031
2026-04-14 23:10:00,4839.53,4840.06,4835.89,4837.22,932
2026-04-14 23:15:00,4837.21,4839.36,4835.29,4838.06,1069
2026-04-14 23:20:00,4838.05,4839.0,4836.81,4838.32,906
2026-04-14 23:25:00,4838.32,4838.54,4835.16,4836.02,1021
2026-04-14 23:30:00,4836.01,4841.78,4835.2,4841.12,739
2026-04-14 23:35:00,4841.06,4842.93,4838.65,4842.45,1543
2026-04-14 23:40:00,4842.36,4842.5,4837.96,4842.36,1242
2026-04-14 23:45:00,4842.35,4844.07,4841.34,4841.72,1061
2026-04-14 23:50:00,4841.72,4842.15,4838.01,4838.82,1037
2026-04-14 23:55:00,4838.82,4839.83,4836.41,4837.24,942
2026-04-15 00:00:00,4837.31,4838.94,4832.87,4838.27,1506
2026-04-15 00:05:00,4838.31,4840.08,4834.09,4834.63,1202
2026-04-15 00:10:00,4834.62,4835.51,4831.64,4833.87,1125
2026-04-15 00:15:00,4833.88,4833.89,4828.87,4832.98,1374
2026-04-15 00:20:00,4832.94,4836.0,4832.54,4835.85,957
2026-04-15 00:25:00,4835.85,4836.53,4828.87,4833.69,1341
2026-04-15 00:30:00,4833.74,4833.77,4828.44,4830.75,972
2026-04-15 00:35:00,4830.74,4831.38,4827.15,4829.24,951
2026-04-15 00:40:00,4829.24,4830.36,4828.25,4830.12,919
2026-04-15 00:45:00,4830.12,4832.21,4829.27,4830.19,920
2026-04-15 00:50:00,4830.1,4831.71,4829.19,4830.91,1143
2026-04-15 00:55:00,4830.91,4837.61,4830.84,4835.51,1164
2026-04-15 01:00:00,4835.44,4837.91,4828.18,4834.4,2074
2026-04-15 01:05:00,4834.42,4840.89,4831.7,4840.76,1876
2026-04-15 01:10:00,4840.75,4852.36,4839.51,4850.22,2107
2026-04-15 01:15:00,4850.22,4871.35,4848.23,4864.07,2217
2026-04-15 01:20:00,4864.09,4865.5,4842.34,4843.51,2284
2026-04-15 01:25:00,4843.5,4854.38,4843.5,4850.9,1974
2026-04-15 01:30:00,4850.78,4850.92,4845.19,4848.1,1856
2026-04-15 01:35:00,4848.1,4849.3,4843.9,4845.67,1682
2026-04-15 01:40:00,4845.67,4851.47,4842.62,4843.6,1814
2026-04-15 01:45:00,4843.59,4846.3,4839.82,4844.38,1881
2026-04-15 01:50:00,4844.39,4847.93,4843.72,4844.72,1587
2026-04-15 01:55:00,4844.72,4848.99,4842.98,4847.17,1520
2026-04-15 02:00:00,4847.13,4849.23,4845.37,4848.26,1630
2026-04-15 02:05:00,4848.23,4853.36,4847.61,4850.98,1684
2026-04-15 02:10:00,4851.05,4851.31,4844.81,4845.22,1796
2026-04-15 02:15:00,4845.22,4846.04,4841.75,4842.65,1259
2026-04-15 02:20:00,4842.66,4843.41,4835.83,4837.18,1359
2026-04-15 02:25:00,4837.18,4837.27,4832.47,4834.75,1001
2026-04-15 02:30:00,4834.78,4835.17,4824.53,4827.35,2253
2026-04-15 02:35:00,4827.36,4829.98,4821.63,4829.43,2131
2026-04-15 02:40:00,4829.43,4830.89,4825.61,4828.46,1909
2026-04-15 02:45:00,4828.46,4830.46,4825.48,4827.62,1840
2026-04-15 02:50:00,4827.68,4829.96,4822.37,4824.24,1822
2026-04-15 02:55:00,4824.19,4826.11,4820.68,4823.97,1729
2026-04-15 03:00:00,4823.96,4825.22,4817.02,4817.43,1800
2026-04-15 03:05:00,4817.41,4820.95,4816.95,4819.22,1927
2026-04-15 03:10:00,4819.17,4823.21,4818.28,4820.95,1741
2026-04-15 03:15:00,4820.97,4826.41,4820.55,4825.95,1259
2026-04-15 03:20:00,4825.95,4826.0,4822.17,4822.81,1261
2026-04-15 03:25:00,4822.8,4828.08,4822.53,4826.54,1250
2026-04-15 03:30:00,4826.52,4828.5,4826.11,4826.2,894
2026-04-15 03:35:00,4826.2,4828.75,4826.13,4827.88,675
2026-04-15 03:40:00,4827.88,4828.8,4825.62,4828.59,804
2026-04-15 03:45:00,4828.59,4829.69,4826.38,4827.0,914
2026-04-15 03:50:00,4826.99,4828.75,4825.99,4826.78,892
2026-04-15 03:55:00,4826.78,4828.04,4823.93,4824.04,760
2026-04-15 04:00:00,4824.03,4824.03,4820.55,4821.4,1048
2026-04-15 04:05:00,4821.4,4823.85,4820.59,4823.45,778
2026-04-15 04:10:00,4823.45,4826.4,4823.45,4825.5,711
2026-04-15 04:15:00,4825.49,4826.73,4822.67,4823.11,923
2026-04-15 04:20:00,4823.03,4824.82,4821.35,4824.24,718
2026-04-15 04:25:00,4824.22,4825.58,4822.85,4824.74,686
2026-04-15 04:30:00,4824.72,4827.13,4824.53,4826.96,642
2026-04-15 04:35:00,4826.95,4827.82,4824.44,4825.59,726
2026-04-15 04:40:00,4825.46,4825.65,4823.29,4823.48,690
2026-04-15 04:45:00,4823.39,4825.77,4821.53,4825.76,866
2026-04-15 04:50:00,4825.76,4826.02,4824.17,4825.32,636
2026-04-15 04:55:00,4825.33,4826.19,4823.75,4824.93,742
2026-04-15 05:00:00,4824.98,4828.62,4824.18,4825.14,1437
2026-04-15 05:05:00,4825.11,4827.66,4822.81,4825.39,1248
2026-04-15 05:10:00,4825.39,4827.83,4824.76,4826.92,1046
2026-04-15 05:15:00,4826.92,4830.57,4826.29,4830.2,754
2026-04-15 05:20:00,4830.19,4830.19,4824.52,4825.34,1335
2026-04-15 05:25:00,4825.19,4828.79,4824.65,4826.25,1301
2026-04-15 05:30:00,4826.23,4828.02,4822.46,4827.17,1985
2026-04-15 05:35:00,4827.15,4827.15,4813.63,4820.17,2047
2026-04-15 05:40:00,4820.13,4821.15,4812.75,4816.87,1765
2026-04-15 05:45:00,4816.87,4819.9,4814.36,4817.37,1537
2026-04-15 05:50:00,4817.37,4822.1,4815.28,4821.41,1532
2026-04-15 05:55:00,4821.41,4823.65,4819.48,4819.74,1658
2026-04-15 06:00:00,4819.76,4825.0,4819.68,4821.18,1468
2026-04-15 06:05:00,4821.2,4821.41,4816.75,4817.65,1383
2026-04-15 06:10:00,4817.64,4820.84,4816.74,4819.16,1467
2026-04-15 06:15:00,4819.17,4819.68,4816.23,4817.03,1394
2026-04-15 06:20:00,4816.95,4817.51,4813.66,4814.91,1431
2026-04-15 06:25:00,4814.9,4817.06,4813.68,4814.74,1347
2026-04-15 06:30:00,4814.72,4817.4,4811.29,4814.0,1519
2026-04-15 06:35:00,4814.02,4817.79,4812.2,4815.97,1409
2026-04-15 06:40:00,4815.92,4816.48,4813.63,4816.09,1194
